20
889 1664
205 320 818
239 639 835
403 503 4
218 556 97
96 94 430
714 165 114
339 729 832
67 213 358
630 137 241
26 408 279
747 15 365
213 103 226
600 341 595
8 529 251
104 441 634
868 518 895
727 489 559
866 815 412
764 601 914
324 307 671
749 621 630
479 11 290
583 308 485
622 159 568
442 848 878
881 756 871
95 184 582
862 642 142
300 101 510
72 687 427
2 659 710
578 396 645
3 1 692
252 373 544
23 712 395
203 253 473
75 235 750
730 550 361
744 167 755
365 683 4
128 384 539
381 154 647
143 99 932
617 711 875
336 726 518
413 709 432
426 228 195
444 417 251
216 551 428
82 220 327
771 414 787
655 50 509
274 159 369
491 433 172
879 2 363
384 16 627
11 819 795
179 579 321
542 414 869
613 410 209
239 181 680
886 825 611
60 705 100
155 477 331
12 543 121
564 569 68
722 256 160
821 306 227
587 846 314
496 252 792
778 385 324
503 496 975
244 575 605
731 672 505
809 513 526
302 691 76
632 334 11
673 571 932
595 335 61
135 503 837
482 391 857
625 529 379
615 544 509
321 835 723
781 537 635
308 333 549
180 604 466
691 369 284
107 32 576
24 397 987
405 770 926
427 169 702
840 743 722
610 562 256
763 101 508
403 820 311
571 264 442
867 648 604
372 93 480
611 467 622
609 88 230
646 160 594
37 839 141
602 813 180
30 350 894
246 591 199
275 259 837
158 518 904
548 772 536
760 80 58
375 812 826
96 677 324
321 884 645
302 567 313
102 417 129
706 289 50
589 766 962
570 507 556
72 510 120
326 564 411
766 729 942
483 857 450
352 495 657
79 167 964
128 770 625
754 76 926
268 160 317
127 828 340
513 441 833
41 434 935
139 25 165
71 366 489
422 40 927
721 67 975
117 732 846
21 783 716
681 580 3
488 213 304
758 206 129
546 707 463
368 326 376
505 378 786
806 440 547
552 442 112
785 95 324
757 458 658
884 468 7
356 757 891
470 153 828
171 499 591
770 186 113
359 264 280
625 369 74
104 145 712
780 288 460
387 341 168
136 420 458
80 325 976
207 866 727
398 289 573
841 790 690
117 55 487
320 352 835
545 189 156
574 489 954
369 526 875
287 232 377
162 836 931
13 280 327
71 693 796
620 340 951
329 297 135
743 118 756
831 670 419
321 188 951
257 117 574
625 531 346
188 888 56
376 421 81
777 406 507
397 756 135
774 554 907
795 340 986
598 582 672
815 712 968
121 408 875
267 590 190
612 805 523
833 331 982
456 642 628
273 761 520
336 296 396
208 734 579
89 521 37
628 773 790
258 414 838
238 731 722
602 402 728
656 51 173
654 384 140
50 567 705
888 314 398
578 384 8
358 669 823
277 119 443
879 681 283
433 442 762
771 620 562
854 683 488
113 551 640
385 113 299
613 322 276
307 766 643
208 450 531
156 270 31
302 75 368
834 849 727
126 448 514
353 182 243
794 784 830
812 800 938
793 740 654
261 830 211
93 837 556
322 480 108
720 513 64
61 607 699
678 43 571
361 649 135
350 308 496
584 519 853
552 795 366
429 635 856
567 311 25
113 355 338
649 380 274
562 787 767
423 478 374
167 227 703
881 858 291
642 263 396
132 517 368
446 109 418
315 770 907
770 875 747
440 845 89
77 152 175
45 22 852
319 304 345
836 655 273
243 493 265
192 814 98
279 377 556
375 246 272
451 769 313
170 610 138
142 415 152
854 393 654
510 178 773
555 777 217
486 415 685
110 711 951
176 159 841
148 108 151
210 704 794
458 865 707
179 873 75
575 390 241
110 63 980
797 64 693
545 141 822
763 130 843
149 793 800
780 872 856
661 837 785
442 157 406
426 66 912
682 61 290
83 125 708
143 719 992
117 768 858
130 876 981
82 680 940
735 573 544
863 89 579
169 508 547
648 743 237
671 383 757
2 191 67
1 201 315
164 725 525
247 405 659
259 33 276
662 343 480
637 729 181
712 122 621
244 65 531
519 82 214
89 544 974
94 759 63
591 465 790
164 362 992
755 632 423
724 888 876
335 285 203
340 783 50
838 343 331
772 416 126
194 515 616
735 372 480
846 118 729
428 444 34
327 842 643
598 776 258
143 325 749
799 783 965
371 561 521
290 849 405
458 247 409
44 723 777
645 661 909
828 530 71
624 522 202
484 86 940
507 317 870
364 302 771
636 647 810
73 586 719
418 501 923
599 182 580
431 752 344
143 811 623
302 844 136
232 692 959
434 15 808
284 810 138
626 442 293
875 840 955
70 359 578
399 58 1
224 428 561
29 195 823
101 361 238
745 774 606
99 414 51
439 373 487
676 159 878
171 584 519
853 112 984
392 522 832
607 608 535
484 25 630
220 885 988
720 345 622
473 689 372
230 127 846
634 709 269
392 739 911
215 463 650
443 598 508
869 384 360
14 869 947
454 545 758
474 625 434
686 680 282
426 553 84
215 578 207
553 617 877
171 674 975
410 567 497
534 704 408
550 379 732
360 341 828
259 174 984
610 682 125
536 64 293
848 491 191
721 295 999
797 749 224
661 200 424
559 602 778
206 621 859
381 216 551
491 715 270
883 566 813
689 787 34
764 418 817
311 219 673
5 644 687
504 170 875
87 188 270
663 836 573
525 277 114
475 722 643
426 200 173
306 159 908
844 281 95
620 181 30
821 290 73
598 177 264
106 153 57
755 125 309
486 711 900
223 198 838
856 830 868
650 56 947
397 74 993
106 496 339
511 595 828
719 159 280
664 844 45
729 843 958
778 77 253
682 712 643
525 562 424
437 457 575
312 198 837
619 480 747
234 703 674
564 842 85
587 256 44
107 575 841
332 596 650
657 347 237
621 261 942
243 168 358
475 25 371
544 847 127
354 548 686
428 713 924
127 731 608
358 5 631
886 220 998
752 12 839
505 869 551
162 84 352
376 565 450
341 206 574
815 728 789
19 537 847
517 456 472
278 121 368
92 575 443
275 428 13
749 665 295
721 797 735
324 98 885
241 540 602
879 305 576
632 626 592
831 406 570
657 196 554
468 778 486
128 305 917
657 175 402
663 265 30
728 116 711
128 475 528
748 889 698
338 345 659
228 59 316
583 79 383
236 152 486
403 641 734
164 295 441
60 760 756
155 834 294
334 72 913
344 287 312
600 554 656
525 269 886
784 200 236
457 513 352
309 444 869
685 850 968
366 716 515
298 608 80
236 759 108
412 492 331
373 567 469
290 709 827
712 613 890
154 646 659
250 8 311
231 809 258
37 361 220
758 461 621
402 578 345
367 822 359
58 530 229
158 233 279
657 853 254
613 128 142
152 239 471
794 575 470
855 746 80
276 215 55
30 185 790
730 16 429
140 681 923
306 828 56
657 405 125
379 334 793
728 781 826
356 889 645
593 105 141
158 880 141
256 585 964
331 209 380
539 336 228
635 695 562
231 595 47
108 299 510
364 63 733
663 10 912
415 442 259
695 574 238
84 68 774
763 261 646
461 113 291
382 790 518
310 722 103
20 307 286
518 219 429
850 590 166
168 830 135
853 548 353
135 77 699
669 550 205
243 75 298
317 501 451
46 507 982
78 676 133
623 846 122
263 456 453
604 132 303
333 247 344
296 190 296
869 810 655
576 781 334
240 258 438
142 60 963
69 745 840
863 742 881
843 386 236
827 270 162
693 227 49
724 598 148
223 461 587
718 352 811
574 213 928
26 529 363
376 724 166
676 254 50
841 535 657
355 18 469
160 22 187
39 870 373
50 2 844
578 235 41
711 153 593
456 280 464
51 111 643
678 128 888
772 886 227
572 591 234
378 379 846
442 881 568
856 874 719
604 690 570
783 767 471
417 1 309
361 713 10
610 547 833
497 589 901
263 656 139
144 458 608
604 701 655
696 806 136
418 375 138
500 238 913
368 577 606
437 857 416
686 604 351
310 320 656
342 597 645
735 477 674
774 458 27
704 804 729
776 442 71
870 498 642
537 450 860
594 432 158
144 630 711
386 379 629
618 246 444
222 230 442
543 674 662
457 851 1000
92 613 597
793 355 742
179 621 103
111 646 705
627 595 672
482 737 85
228 127 651
459 567 215
215 48 692
414 382 143
163 646 397
193 779 720
584 427 239
436 111 582
152 789 802
256 720 147
459 120 73
766 193 74
234 801 716
85 6 17
45 62 987
862 543 556
455 856 130
443 757 374
95 327 28
518 64 880
510 779 184
222 627 252
837 631 300
107 596 163
232 711 834
466 289 974
407 69 516
339 667 113
9 873 239
753 168 709
837 855 913
245 792 91
359 381 34
551 647 813
438 13 65
643 346 63
388 833 120
296 26 522
11 39 108
319 564 420
217 366 830
527 55 745
59 587 366
413 766 606
138 289 228
138 170 839
828 306 969
251 350 323
306 692 379
135 750 901
637 280 235
848 565 818
424 589 656
195 798 212
276 852 868
42 13 778
68 140 112
351 710 456
307 433 583
309 181 231
115 489 874
787 487 364
785 643 576
299 844 186
577 666 360
537 698 905
333 496 273
467 290 335
632 397 104
185 95 626
821 663 591
369 52 176
241 743 718
791 152 750
64 121 911
716 600 202
163 22 3
700 623 273
575 691 248
245 111 352
881 677 561
134 321 267
792 242 376
445 763 271
116 371 197
5 445 803
44 611 561
63 734 666
95 748 979
233 319 274
201 345 695
101 672 30
66 78 479
599 134 182
68 467 574
249 5 234
465 796 324
824 438 908
548 73 866
41 109 81
643 415 818
420 805 6
151 832 73
806 99 426
618 238 210
426 309 840
847 411 811
65 751 773
394 624 424
162 271 944
607 818 664
482 807 356
484 644 112
195 48 242
23 619 960
550 426 510
389 449 481
737 392 437
424 248 723
39 856 232
638 350 8
652 814 768
414 245 235
380 263 108
88 825 666
765 42 881
756 360 295
774 127 190
183 271 883
103 801 871
125 763 348
263 307 846
800 738 275
867 521 940
370 144 173
535 218 604
715 401 264
746 38 492
559 236 18
719 148 985
79 285 512
719 818 856
516 98 95
273 502 753
293 790 318
52 832 345
663 232 731
420 288 759
14 423 883
680 6 699
647 572 65
716 631 958
667 261 585
782 486 146
536 460 48
543 322 735
373 315 529
717 44 275
259 210 896
657 879 223
76 402 18
451 263 803
261 253 306
113 702 109
522 556 174
397 233 557
483 690 603
6 106 520
670 877 11
660 23 803
710 475 72
200 224 139
364 363 804
154 274 241
843 237 458
856 325 948
805 842 112
714 832 86
342 784 291
176 644 643
38 100 593
181 856 726
646 502 833
391 726 468
706 606 817
240 51 201
186 244 543
283 284 665
48 807 439
156 648 166
238 734 679
775 885 678
806 674 284
66 348 466
473 416 911
414 869 365
444 245 472
834 306 456
284 8 758
328 797 571
256 885 768
502 288 803
872 696 577
321 557 245
365 144 42
850 44 856
769 822 658
745 108 155
218 234 87
222 508 362
306 268 516
271 190 75
648 578 156
424 706 387
52 144 573
322 441 343
241 399 715
317 617 9
47 581 357
125 665 881
850 71 600
812 65 249
109 98 5
789 640 705
212 160 402
877 109 206
799 416 994
719 308 898
434 275 908
418 551 59
651 756 541
736 210 690
269 837 186
177 1 643
33 371 166
87 580 180
309 784 727
198 66 847
62 719 471
814 230 173
189 182 157
787 312 891
165 84 668
817 785 402
448 122 572
8 677 335
287 117 703
701 19 309
704 117 985
823 8 471
132 821 42
530 222 184
165 298 31
359 603 767
687 860 329
744 221 311
309 335 142
269 609 618
728 260 678
635 516 533
407 204 196
741 135 583
550 864 966
829 245 596
190 469 253
43 62 166
230 25 853
275 255 353
229 684 969
276 262 65
882 798 362
318 284 124
352 294 773
505 315 825
327 636 122
669 166 691
624 397 387
276 164 963
339 183 703
611 872 190
586 366 142
289 395 874
824 276 991
352 472 712
879 429 167
566 555 52
306 108 698
218 836 401
880 223 65
624 86 282
96 24 983
822 259 920
240 199 978
498 813 858
544 769 983
755 28 668
477 794 241
250 183 539
386 143 478
56 329 43
379 524 96
413 684 670
825 12 527
587 278 403
631 166 20
869 146 776
36 653 317
511 360 271
519 424 844
709 802 618
22 739 215
824 748 614
453 447 622
617 223 740
249 642 523
852 596 941
811 195 233
16 637 26
712 249 445
103 127 59
875 617 975
425 728 971
495 623 518
493 829 451
623 726 410
319 774 256
722 1 912
417 356 36
865 880 706
438 185 738
444 514 202
225 659 617
200 179 61
785 630 55
524 222 47
805 691 752
721 774 854
533 294 367
379 242 718
801 316 276
11 783 281
616 857 336
533 152 238
80 133 354
31 665 455
838 484 276
334 854 879
396 290 212
193 365 847
740 55 671
626 789 360
421 552 633
786 131 615
373 236 67
795 540 474
460 594 753
390 566 289
448 195 424
508 557 39
235 180 978
312 554 924
358 180 777
754 308 251
796 741 543
430 177 910
764 295 985
567 56 501
790 870 480
320 290 697
723 380 137
319 433 800
180 129 108
283 749 732
76 696 778
138 876 567
775 654 87
272 681 145
48 44 111
796 671 600
739 801 494
333 304 887
436 368 802
59 680 255
681 826 386
171 869 294
858 140 779
183 416 838
275 454 10
630 75 923
128 108 586
64 841 460
327 115 263
293 436 442
708 197 397
886 513 749
331 271 75
792 198 432
665 74 800
396 788 849
829 293 420
24 730 442
294 351 141
157 821 983
854 681 347
643 22 423
403 669 212
144 186 913
533 817 128
719 173 107
281 566 869
624 824 589
165 86 233
620 254 761
658 797 877
496 639 910
555 395 906
76 122 410
229 365 71
221 339 279
518 808 494
50 829 39
811 157 34
216 563 203
211 520 630
590 230 341
369 111 467
683 170 892
519 693 301
191 684 891
197 788 378
723 27 511
766 868 753
141 630 51
503 626 361
710 653 613
689 730 327
764 672 911
450 782 11
246 410 22
96 692 311
697 755 290
53 880 223
816 734 933
51 830 169
177 880 836
456 569 729
674 480 859
29 742 524
317 189 916
219 568 675
465 355 433
277 783 510
817 497 78
93 126 984
693 776 138
229 394 917
490 625 410
489 519 14
570 797 657
813 71 213
410 538 668
214 269 124
220 848 982
858 529 376
784 295 792
279 239 35
588 11 966
400 815 401
112 30 749
577 357 329
591 382 401
366 558 492
526 382 805
834 730 390
784 701 519
309 45 173
837 639 711
483 612 824
794 367 208
374 46 940
435 509 536
461 377 634
206 550 69
803 515 620
315 38 553
233 449 527
199 818 949
559 226 965
839 46 974
434 133 892
638 686 463
884 4 335
712 361 500
239 208 828
636 141 351
385 260 42
642 467 519
598 547 474
64 180 693
808 242 914
20 82 345
217 626 225
699 849 230
244 83 9
422 138 445
72 31 233
541 693 963
489 405 948
630 579 126
634 301 551
118 687 522
524 762 356
314 816 747
875 333 285
24 886 942
467 722 192
494 206 930
155 619 161
529 513 106
767 196 260
602 285 970
144 112 306
677 312 660
779 215 901
873 837 330
805 57 512
186 681 618
282 845 279
800 562 768
165 210 899
739 600 722
604 342 842
401 201 297
840 346 228
838 317 130
360 372 24
234 611 859
523 618 335
851 231 604
175 889 813
278 710 816
873 656 43
865 746 855
218 331 523
352 576 484
81 748 329
798 501 125
492 201 433
682 341 968
122 591 125
93 781 365
371 888 16
228 762 608
729 653 296
627 808 913
47 190 604
344 566 566
371 76 609
344 22 750
3 577 164
239 224 995
498 240 827
280 103 811
820 407 92
485 486 49
164 73 420
199 524 415
576 152 425
188 464 176
735 786 548
278 686 214
90 79 385
770 241 820
794 554 877
32 372 258
480 181 323
480 409 573
310 818 887
620 102 421
647 91 658
621 861 114
530 579 989
810 592 497
402 874 152
145 28 856
257 555 87
546 121 701
455 637 854
809 182 499
666 168 44
841 728 407
755 712 35
324 520 729
882 75 522
175 439 159
69 829 840
477 533 214
533 266 21
467 734 32
501 346 713
284 456 147
52 188 890
314 9 329
581 852 302
128 477 334
180 32 558
369 71 931
556 599 990
79 89 880
760 34 278
671 601 602
566 804 722
138 387 674
537 489 955
822 546 238
533 723 452
651 708 442
880 373 369
358 617 715
601 186 680
300 833 276
534 288 150
675 865 843
726 492 702
153 718 784
21 687 223
193 641 206
738 825 195
28 525 78
869 58 971
677 333 423
460 665 327
224 526 250
196 313 90
627 638 26
449 408 896
632 157 54
125 807 735
230 556 289
486 659 99
447 269 358
339 853 478
822 864 480
346 712 70
206 301 715
127 787 637
351 108 919
434 820 677
668 329 263
693 661 141
37 441 967
482 374 241
266 73 10
606 36 332
798 120 334
835 431 99
338 133 418
229 301 863
660 228 779
521 484 433
418 211 532
204 375 14
50 574 356
528 543 251
76 818 613
392 790 908
419 466 85
308 551 715
677 873 845
538 661 903
117 211 130
593 261 994
150 4 256
678 766 493
706 599 673
846 336 528
451 46 789
565 355 281
539 563 257
435 884 90
35 411 154
652 657 102
874 162 508
372 407 465
485 383 221
609 257 406
840 608 198
101 716 237
491 693 590
561 423 986
754 457 770
631 830 588
676 674 857
131 29 433
538 762 941
518 42 482
483 878 204
888 525 368
850 797 981
809 198 639
691 864 219
874 92 679
242 558 595
300 138 606
219 662 135
453 207 642
216 394 965
106 307 137
356 525 796
373 252 627
319 496 281
531 886 230
34 790 575
706 109 303
774 821 889
228 784 802
687 839 165
465 62 420
87 598 660
583 862 639
458 282 243
521 713 127
223 472 595
432 89 182
7 708 399
495 343 877
187 873 309
27 328 243
107 746 719
212 211 341
802 814 187
452 867 758
137 832 541
41 8 903
198 116 582
489 578 681
105 563 335
650 66 253
313 833 809
96 66 992
158 586 114
681 840 817
660 771 54
797 122 586
476 294 362
591 462 963
105 260 284
296 103 354
790 587 182
603 48 145
638 601 445
888 154 874
453 172 784
789 586 500
417 216 518
14 886 74
192 115 729
726 189 652
37 304 62
391 517 564
868 717 962
731 2 590
825 49 145
821 737 313
39 386 13
179 709 889
385 327 285
817 181 868
700 662 865
841 71 688
241 707 494
29 720 57
518 840 50
130 122 325
827 594 813
605 513 529
199 620 411
507 783 706
576 540 784
32 888 254
311 555 141
604 69 631
229 852 981
614 249 103
17 888 292
737 136 461
834 788 320
163 371 226
750 302 410
229 108 727
817 556 52
77 252 325
409 727 584
834 278 65
390 394 628
489 359 100
405 477 773
801 824 961
512 256 641
744 441 828
549 396 241
514 163 796
842 377 229
776 536 171
354 822 486
360 5 944
12 526 38
453 479 806
467 212 575
698 293 165
601 529 242
847 596 97
677 383 177
558 44 286
635 189 490
629 757 676
611 865 848
375 408 79
40 516 673
186 167 587
278 730 899
179 293 704
134 258 636
725 175 49
202 799 428
389 551 385
649 516 20
843 166 838
195 494 559
572 560 973
531 817 322
880 1896
582 203 318
703 580 689
173 63 784
205 290 385
697 184 462
808 818 824
611 688 624
536 625 552
384 304 465
141 62 829
870 593 840
210 73 79
6 19 280
389 269 326
301 516 300
253 406 983
39 664 604
740 674 901
459 703 498
223 4 143
707 181 554
170 413 477
528 827 556
335 745 375
611 106 942
315 473 931
563 812 420
569 6 255
707 691 164
813 480 802
277 106 337
22 352 646
645 531 773
813 855 371
572 604 836
221 498 937
866 553 631
417 632 635
465 785 254
870 280 847
518 739 253
719 822 462
44 857 843
744 235 867
603 788 802
224 712 412
843 324 707
358 36 203
32 275 435
15 388 211
302 642 893
586 136 638
522 156 791
342 302 899
804 796 38
289 335 822
218 247 865
306 762 106
866 455 503
386 463 989
873 779 316
437 529 733
724 276 409
195 177 116
235 818 394
311 581 603
282 214 624
202 453 144
85 580 933
356 865 56
754 400 453
53 761 816
801 56 886
802 160 323
774 879 124
837 191 673
287 282 979
418 782 390
628 272 486
615 351 378
82 203 26
362 709 422
820 52 150
647 786 48
563 408 884
834 363 384
433 373 56
749 411 980
373 68 685
520 601 124
354 20 711
73 252 2
638 826 413
680 530 649
411 423 338
412 753 184
691 553 316
66 704 370
177 303 665
467 622 712
598 25 153
719 600 254
784 256 194
803 867 265
106 776 742
150 346 16
533 870 970
534 386 959
435 330 257
119 632 452
97 633 288
34 119 930
459 178 206
876 880 304
590 200 393
332 371 459
390 769 21
794 810 608
681 104 919
814 105 558
217 711 298
461 93 193
473 355 940
327 795 285
701 424 224
801 93 548
157 448 600
93 533 893
608 332 497
839 789 752
649 662 353
521 863 682
307 685 452
202 406 687
506 869 316
247 164 93
105 215 185
476 649 763
850 603 498
265 871 540
518 62 422
87 358 931
694 72 109
192 533 735
830 227 618
780 475 40
512 591 857
418 23 772
109 794 29
37 670 964
315 828 311
390 824 382
362 320 987
659 588 67
346 159 645
172 406 759
381 770 736
703 17 405
460 720 390
419 294 216
58 481 649
869 748 504
304 150 376
567 880 422
831 137 420
188 787 851
880 113 428
390 108 21
608 657 918
592 784 334
459 587 730
461 322 880
725 553 87
174 207 482
635 379 537
501 767 264
578 801 376
249 265 516
346 575 650
553 514 505
783 521 550
180 12 983
60 453 259
449 634 82
398 384 376
515 576 407
799 637 747
799 662 88
519 213 792
214 815 818
625 826 429
47 150 59
6 48 428
546 228 245
874 317 313
222 280 552
39 125 496
408 296 460
587 7 835
856 686 782
467 277 233
482 647 759
791 319 153
689 510 65
627 102 958
576 410 759
672 273 538
655 860 705
534 73 28
794 578 79
133 441 156
226 469 434
5 534 447
757 254 924
627 461 816
116 583 395
46 436 233
795 840 10
844 30 640
578 550 531
407 743 292
216 274 344
490 36 735
38 102 657
857 745 848
467 513 83
754 515 18
39 323 206
685 811 764
763 457 217
93 133 793
503 736 925
587 148 386
557 813 341
86 207 781
867 488 824
114 403 821
449 161 657
721 87 292
71 457 14
731 550 642
711 633 280
76 382 964
214 539 291
142 111 358
646 51 181
187 479 2
369 61 23
365 176 992
687 408 726
348 617 537
777 287 844
128 330 724
58 19 23
222 449 154
551 563 411
29 454 666
535 456 275
89 693 827
109 93 964
670 77 599
638 807 556
325 507 598
524 430 179
455 794 831
100 844 304
202 565 449
462 789 649
79 578 260
622 555 680
866 792 130
638 393 134
240 452 733
568 18 267
433 128 133
634 591 179
829 26 987
520 549 178
87 548 413
635 181 356
362 74 402
610 467 242
461 295 178
372 463 480
594 168 205
480 37 266
151 866 471
96 528 866
132 478 33
417 263 820
273 547 414
94 387 117
853 79 801
701 571 504
510 83 921
460 880 538
869 93 671
72 224 669
527 453 273
682 539 56
867 12 671
331 757 817
623 782 504
248 744 692
154 1 135
585 533 520
775 272 590
222 494 974
602 770 551
747 206 740
663 126 494
655 448 503
369 163 157
586 154 124
316 145 635
780 19 272
765 682 187
715 815 856
722 438 936
451 108 658
737 159 59
655 659 405
268 203 471
788 869 536
413 449 244
732 237 21
820 300 235
29 598 793
667 278 762
333 710 271
829 101 6
191 615 727
359 358 938
276 6 450
835 390 237
140 808 753
751 11 666
527 758 536
768 119 284
109 361 837
826 549 793
184 778 173
645 383 910
17 855 526
51 474 81
542 721 257
488 786 91
184 503 511
157 96 569
595 305 673
245 816 901
527 548 458
579 825 20
618 711 452
863 517 511
663 428 190
449 354 989
645 863 693
493 208 60
34 198 774
108 111 989
697 679 858
103 476 144
847 816 389
662 296 329
867 384 550
790 597 599
323 842 378
684 558 966
369 856 223
739 531 152
26 834 576
61 32 351
624 104 551
283 558 153
221 760 886
199 77 371
61 478 377
734 222 580
95 743 218
564 867 671
800 522 634
322 180 883
734 643 342
828 814 650
750 63 197
165 538 985
188 822 986
209 358 109
848 472 740
238 368 874
136 684 981
820 622 428
661 217 641
725 414 619
569 600 330
835 656 277
157 214 916
632 29 348
839 90 401
292 175 379
234 47 544
354 137 68
516 293 746
208 712 62
793 272 602
513 758 814
350 370 255
235 451 846
592 171 742
545 705 386
764 101 626
313 791 571
132 821 393
107 238 982
408 864 936
350 117 488
693 784 933
852 595 220
457 746 889
561 237 998
321 576 589
679 326 975
260 691 517
708 702 851
181 377 204
13 582 207
235 35 517
335 664 271
251 617 405
290 348 306
125 522 496
444 872 249
731 715 70
240 613 264
122 789 497
439 306 309
804 107 55
26 424 635
592 836 253
378 239 53
525 795 509
806 195 98
722 92 624
536 505 910
831 176 32
535 220 350
402 353 365
462 864 459
255 781 906
91 299 650
111 857 729
616 120 311
739 77 364
593 257 422
204 210 155
293 585 345
449 744 352
244 772 182
95 430 703
30 873 765
540 572 177
806 364 470
416 24 48
147 672 941
303 49 151
824 285 656
650 525 514
301 219 887
318 604 380
573 499 813
195 726 459
283 62 68
200 107 660
807 182 867
459 203 571
834 35 472
559 321 105
112 34 206
202 185 221
825 546 222
315 180 977
91 579 530
751 546 890
561 406 454
745 692 647
669 271 628
591 526 525
875 649 190
180 773 328
200 79 336
454 547 114
494 49 143
710 254 840
148 388 179
373 305 465
601 875 784
604 105 161
572 192 824
337 317 643
333 799 980
253 683 841
424 157 348
616 697 972
553 417 884
544 584 885
146 533 549
463 517 587
66 311 935
830 417 388
607 46 986
792 107 804
274 569 410
435 397 201
650 175 8
641 124 108
84 840 870
837 375 411
514 434 180
135 725 507
147 275 41
776 535 969
21 287 113
793 62 510
423 71 396
174 630 253
646 783 188
693 746 615
645 95 539
777 594 897
70 109 194
171 559 43
839 421 116
619 21 646
84 56 725
33 794 491
596 186 914
102 650 900
785 617 339
123 588 606
862 745 244
175 482 693
374 160 67
395 842 546
579 844 489
687 753 443
502 355 460
452 748 663
624 575 675
392 264 459
416 659 917
686 493 574
450 865 661
737 249 771
62 508 972
55 388 316
170 374 824
301 646 774
436 297 100
230 594 547
531 802 208
485 17 214
32 691 772
198 168 725
865 506 48
513 118 163
30 126 535
793 249 961
410 578 179
190 670 885
810 685 143
844 833 493
701 234 50
812 841 966
269 376 141
494 119 512
875 700 789
854 199 926
588 251 236
874 80 124
870 748 869
762 107 132
351 831 771
155 4 600
776 296 245
184 422 233
585 802 157
772 537 190
461 364 924
490 361 891
285 805 494
756 256 982
486 9 17
682 303 802
429 810 166
167 627 149
490 59 498
780 698 358
579 484 28
360 485 512
520 714 306
400 288 763
108 175 506
537 47 455
81 199 872
486 824 181
849 755 581
45 252 920
94 276 512
436 759 766
124 803 461
115 682 66
670 717 211
756 574 827
850 58 582
569 479 231
435 231 918
131 190 424
232 442 196
767 432 93
316 635 6
183 398 33
151 386 273
363 392 509
586 506 752
481 241 633
222 387 296
424 350 93
532 764 238
356 167 104
242 846 772
142 446 780
836 666 903
401 300 471
293 731 992
812 471 365
794 801 458
194 834 931
178 654 747
867 146 433
300 413 266
548 406 743
557 415 706
89 729 657
175 578 546
623 734 293
781 521 595
253 137 149
874 396 594
35 521 974
16 488 799
452 711 963
75 826 778
512 201 356
249 2 754
614 519 19
37 528 819
127 728 984
127 671 242
224 249 798
63 837 307
394 837 746
222 236 288
879 618 727
333 91 658
113 469 123
