957 2939
173 914 16
778 756 456
191 908 256
135 207 556
495 519 3
348 436 713
568 866 546
461 742 482
618 771 474
93 776 345
67 868 944
692 918 840
894 434 199
459 957 797
631 198 361
76 39 452
15 478 850
161 427 516
472 781 901
240 307 22
146 809 764
422 435 265
370 698 539
631 334 649
849 591 202
277 402 979
105 116 819
409 831 23
218 896 550
314 424 41
22 689 691
123 417 809
575 176 413
574 556 891
868 922 661
770 312 936
520 23 222
914 538 826
687 733 240
860 72 57
40 807 126
554 408 726
49 136 964
165 660 79
329 369 133
282 686 967
948 270 263
531 335 740
28 866 245
335 484 17
579 747 411
102 305 570
768 257 303
315 727 629
404 60 819
952 239 679
345 455 550
564 893 644
316 20 655
433 105 90
698 830 174
659 436 821
558 200 575
681 933 753
212 524 462
691 9 457
631 949 920
559 486 337
530 827 942
907 425 174
259 846 294
563 634 533
908 547 29
937 308 232
441 217 179
445 33 908
317 228 18
48 97 414
802 817 938
153 495 914
155 860 709
951 359 164
383 215 19
108 643 681
376 381 57
772 586 828
864 7 883
293 713 36
763 712 876
874 21 641
705 494 926
5 491 86
503 825 86
425 584 916
258 587 632
560 523 464
145 213 42
670 135 106
160 147 30
197 59 751
921 915 436
463 683 287
206 901 680
828 809 343
728 130 800
778 35 23
574 71 608
144 647 164
111 115 619
630 581 308
482 550 810
723 751 361
648 608 20
197 925 128
31 276 928
385 195 376
598 244 10
658 377 169
530 382 971
172 60 989
39 1 194
448 635 802
571 680 867
412 315 862
866 840 122
200 886 904
369 584 681
318 540 419
118 733 243
168 728 846
68 373 299
455 775 721
348 310 352
261 911 519
903 854 493
495 765 891
329 312 880
653 856 215
115 81 484
300 440 661
701 533 157
686 182 474
718 115 318
112 668 198
198 119 210
17 459 154
344 957 941
602 221 146
120 503 717
526 164 178
945 876 202
658 61 419
88 141 500
711 108 944
799 953 242
543 919 674
430 117 658
13 441 711
876 48 340
848 629 802
642 233 931
250 619 742
740 256 366
724 256 375
758 101 246
44 243 695
707 86 568
82 740 998
282 938 715
392 531 647
664 324 747
792 687 676
790 198 493
530 74 167
431 497 696
921 218 609
700 52 564
893 299 139
396 288 356
273 718 281
47 184 345
578 444 995
838 283 453
739 256 666
899 269 13
115 344 960
296 696 712
468 415 465
795 223 342
43 866 801
293 869 867
857 301 900
537 460 194
451 219 355
559 848 992
246 868 193
425 709 438
88 95 943
676 468 589
949 780 605
937 467 785
920 114 699
539 610 818
902 519 602
98 327 85
95 496 399
909 305 655
544 235 887
239 956 692
413 40 133
817 794 872
685 81 713
953 343 769
787 582 401
537 347 793
701 166 532
621 868 729
593 4 341
630 467 538
161 175 889
844 242 330
726 73 893
726 691 568
74 441 321
693 113 723
745 522 729
265 372 877
859 153 965
645 531 220
257 618 22
367 608 854
705 218 3
355 184 137
890 654 455
131 513 187
491 735 558
649 339 701
733 643 786
162 163 409
39 296 548
171 946 859
1 395 549
686 140 219
12 641 221
245 774 600
853 693 766
711 888 656
356 703 161
165 320 433
158 882 257
188 612 722
926 720 955
534 719 620
55 836 887
895 822 25
880 90 577
198 869 905
185 703 49
171 713 23
768 146 922
420 530 60
425 441 121
158 352 630
945 359 101
189 191 419
492 24 501
913 893 840
25 625 298
916 925 178
48 711 727
818 367 981
315 139 626
859 58 856
670 358 101
137 32 575
202 829 352
181 595 564
233 824 396
561 914 716
253 663 571
216 657 755
257 515 495
82 405 907
265 132 985
333 754 839
930 900 843
855 59 875
452 234 489
231 948 708
224 4 737
525 199 538
722 894 909
236 365 167
297 949 907
471 624 126
167 910 184
677 835 102
88 139 523
798 336 315
670 251 606
364 834 89
201 756 989
93 253 792
721 670 68
774 337 445
605 805 623
373 117 822
955 45 829
539 619 130
451 505 892
673 828 933
667 917 401
618 601 47
243 724 972
695 591 21
854 557 301
52 540 597
314 689 646
129 335 292
182 111 593
145 849 120
912 499 369
130 420 603
276 532 719
442 640 363
265 116 544
489 415 588
936 584 966
399 901 183
154 355 123
59 305 929
733 219 958
174 709 994
355 75 121
940 871 859
680 227 682
431 863 790
624 307 339
627 472 72
402 607 327
13 715 895
695 861 958
400 828 907
105 117 624
727 616 246
768 326 813
296 404 896
938 809 941
567 403 425
870 717 829
840 754 145
452 226 960
698 528 195
160 130 583
867 104 178
40 698 335
714 879 819
273 587 268
291 332 493
206 28 934
272 584 770
208 381 320
666 770 945
873 760 938
754 521 1
323 288 405
936 195 14
720 499 96
515 644 917
857 139 328
196 593 98
857 706 320
453 628 927
288 409 841
564 590 281
202 51 602
447 205 66
424 134 54
72 826 833
817 511 302
390 82 291
655 409 457
354 405 83
372 334 349
660 450 816
771 734 788
935 255 48
735 263 92
273 212 540
656 160 96
607 203 19
662 242 338
12 732 7
934 590 499
686 749 901
580 436 463
6 128 935
115 92 912
37 886 762
341 806 133
955 809 245
637 429 652
372 885 986
512 477 161
566 284 601
938 666 477
244 211 260
615 189 854
227 867 902
718 714 315
454 164 340
593 148 261
509 563 761
72 304 678
920 216 903
480 530 264
764 605 549
856 468 944
85 19 251
419 221 311
521 238 574
173 749 705
398 359 846
50 549 111
703 741 61
881 920 363
124 256 715
558 312 101
386 488 847
165 510 880
637 313 662
453 157 80
152 419 430
510 125 77
280 404 898
294 299 15
747 339 457
537 912 412
284 465 409
350 252 177
20 787 911
763 544 930
848 645 509
238 290 674
122 547 166
607 66 975
231 107 722
886 795 52
476 238 538
215 667 260
504 594 216
10 421 695
455 215 309
151 9 770
272 213 163
369 580 718
591 884 599
2 143 853
833 927 752
112 521 714
84 690 605
664 822 760
219 207 563
685 804 403
408 395 938
709 776 137
686 526 664
401 538 581
907 477 638
464 118 697
522 130 734
54 489 832
263 380 825
429 737 794
865 92 661
683 829 395
894 344 896
374 97 15
748 371 687
650 147 476
508 63 389
362 485 599
680 493 737
671 562 1
819 213 304
100 831 240
770 425 491
236 311 366
333 76 201
247 414 946
891 371 70
465 555 627
939 921 428
89 941 834
376 518 540
730 79 664
453 73 954
457 40 175
126 370 563
593 471 847
298 208 210
682 443 575
647 310 43
117 86 936
945 856 781
620 780 370
347 893 199
426 369 977
597 82 865
491 231 273
276 794 620
496 605 268
310 833 808
42 162 417
75 454 41
527 635 339
221 787 317
349 617 824
719 504 926
907 6 505
533 48 360
719 847 412
312 706 487
309 604 128
260 177 265
328 280 668
315 245 809
382 745 767
925 589 263
412 319 338
878 812 934
200 564 737
416 757 165
932 675 358
937 926 384
953 291 101
645 933 57
244 659 201
664 530 849
430 275 793
657 590 40
247 355 149
829 666 251
291 434 18
466 851 441
433 395 300
943 132 945
846 288 393
278 673 885
289 789 555
867 396 665
729 43 466
855 735 963
857 224 811
778 198 783
287 697 856
303 608 462
605 409 628
20 827 707
48 809 196
890 440 345
6 329 930
560 422 190
771 767 951
783 403 539
555 673 63
719 554 69
676 908 684
197 54 722
842 293 635
657 954 959
491 751 873
351 411 116
610 476 879
338 451 560
80 538 368
864 739 373
723 602 94
821 62 781
366 615 214
348 18 915
502 405 450
587 724 685
349 161 464
496 602 725
359 287 202
857 591 274
505 866 524
920 529 874
153 508 143
307 131 777
272 223 578
371 18 946
403 512 549
214 439 303
940 25 898
480 140 563
319 672 289
446 232 21
277 52 881
840 719 2
241 199 429
778 772 124
770 683 420
956 333 855
732 38 154
177 479 521
319 272 546
67 21 524
797 416 307
492 397 603
656 790 947
871 600 561
900 456 245
309 622 857
567 258 17
893 592 389
111 575 52
844 454 670
787 532 858
417 856 286
114 608 812
176 287 985
555 356 309
731 839 474
104 883 775
7 34 162
587 469 493
435 145 343
318 589 931
596 700 444
470 548 788
390 653 550
60 578 16
201 768 294
848 749 197
162 371 820
118 74 255
293 270 879
686 476 356
164 694 651
71 532 380
416 340 304
67 587 800
266 811 176
957 800 854
93 273 886
910 448 186
314 704 197
914 711 736
73 642 371
513 254 160
900 132 214
411 664 487
103 270 648
579 742 635
602 752 368
418 616 471
143 145 410
234 144 171
36 314 327
597 840 957
85 692 916
106 386 455
138 179 751
563 700 950
173 384 683
533 149 935
469 267 798
347 875 229
923 660 142
77 735 831
556 509 527
67 325 917
532 128 620
397 295 977
535 414 815
368 648 77
87 547 762
302 174 678
587 194 339
177 903 626
347 932 863
126 924 699
424 517 914
243 805 190
335 733 533
913 710 581
929 643 599
563 700 59
390 230 383
66 252 715
803 389 333
517 644 868
10 125 807
703 487 36
90 486 712
560 795 583
118 722 555
739 575 514
183 701 466
262 263 229
664 284 203
677 919 499
50 705 772
259 524 178
65 280 516
789 847 110
199 388 975
73 478 437
321 213 613
558 42 851
709 901 168
68 713 140
81 73 797
139 722 187
834 741 170
235 919 386
921 207 888
23 109 252
567 565 67
42 774 228
842 800 652
821 403 743
72 114 482
952 43 827
242 442 843
366 627 162
388 99 863
719 722 554
620 85 123
646 286 450
522 190 394
463 803 39
934 188 898
780 364 922
36 851 650
509 263 29
193 822 546
516 822 183
348 91 781
528 875 965
504 886 489
783 332 510
803 389 107
117 231 528
369 449 639
690 56 223
562 284 550
582 728 981
336 536 19
696 934 38
516 254 609
94 957 490
725 329 515
269 890 961
781 770 704
929 563 388
285 643 365
853 956 807
244 722 343
196 378 276
881 411 659
512 702 164
141 167 154
480 448 266
882 326 478
766 64 209
540 796 458
500 599 910
178 116 838
392 914 545
159 335 30
93 113 222
533 737 223
407 899 165
724 424 948
908 83 291
126 563 901
261 885 509
259 565 560
796 815 740
318 903 863
227 896 951
640 491 860
681 937 934
701 263 433
824 339 95
181 482 383
203 550 87
555 590 278
521 906 918
539 700 360
718 887 382
401 233 80
47 235 816
158 771 937
615 238 990
760 590 311
184 752 606
549 517 440
551 758 374
774 23 986
108 462 581
444 92 365
831 778 295
430 583 721
240 811 689
896 483 590
487 159 19
728 412 370
956 602 731
387 483 450
770 638 597
675 440 760
583 126 330
952 382 313
268 732 205
870 412 239
908 219 391
135 452 131
839 247 804
782 378 78
342 760 128
29 752 797
819 648 793
106 344 667
48 194 2
756 351 534
524 759 236
811 676 872
785 736 259
599 440 611
228 759 70
550 472 548
938 239 522
575 768 605
916 137 204
934 152 836
840 637 624
335 53 613
888 41 398
122 555 49
417 764 253
107 769 878
12 185 122
579 285 967
212 297 781
269 412 883
796 475 480
155 649 315
240 87 501
676 270 921
806 80 510
725 540 793
304 756 566
741 690 720
698 810 18
669 616 22
264 339 709
508 300 92
868 893 535
467 764 216
488 352 712
901 460 37
703 846 307
787 580 784
842 723 774
915 310 700
135 164 191
57 368 901
355 191 257
170 456 732
692 523 287
560 256 481
404 851 731
623 437 267
744 774 706
43 259 988
248 173 710
815 767 632
858 106 173
339 361 346
821 756 971
870 59 858
427 808 444
949 627 208
431 454 12
875 825 681
852 8 655
5 26 695
515 28 254
363 444 836
327 357 228
88 418 555
32 332 162
590 483 166
108 783 111
379 570 742
108 236 941
194 720 314
236 64 581
506 267 655
690 655 356
78 392 196
36 37 830
270 792 341
75 830 213
744 517 286
754 175 667
292 706 523
565 89 561
164 883 709
35 920 951
740 361 814
794 355 600
130 422 742
100 637 263
510 698 857
737 263 680
651 456 760
592 212 569
573 350 364
659 917 602
387 554 955
465 267 620
733 449 240
328 234 900
293 13 160
99 566 595
120 271 223
484 356 939
826 933 112
725 601 88
300 211 47
153 40 421
930 634 757
567 875 440
142 127 727
773 454 841
582 4 634
519 213 4
55 267 436
187 57 144
547 934 827
86 859 514
632 953 54
481 483 258
2 517 512
535 407 959
867 475 221
612 601 231
48 478 885
823 908 469
294 610 308
781 655 5
491 714 626
894 577 508
561 30 408
31 88 949
10 763 230
41 779 406
334 413 547
664 914 965
471 850 924
376 200 697
705 72 280
309 267 99
363 739 52
424 351 988
734 756 524
153 813 286
781 776 764
331 543 106
719 604 268
35 206 964
851 752 809
324 53 16
396 480 460
908 506 863
231 347 62
163 370 608
249 161 833
788 373 862
786 361 185
128 570 920
392 569 578
752 809 87
67 401 737
851 480 63
187 753 769
529 326 519
822 914 293
704 383 996
7 147 538
589 747 797
698 68 2
691 895 78
302 913 559
892 495 726
573 510 301
880 63 389
699 581 797
344 179 950
73 260 799
816 353 353
424 699 896
76 807 507
848 71 774
268 629 741
138 389 811
690 858 253
918 173 746
32 171 993
278 13 921
257 378 349
608 696 820
73 551 627
827 546 601
26 203 774
286 778 657
672 196 384
64 368 745
690 593 606
365 946 569
597 387 911
596 647 152
160 541 773
945 403 728
750 379 469
382 38 911
173 924 532
736 493 980
60 648 905
103 97 171
782 333 713
636 175 970
750 303 755
330 235 839
335 755 391
126 285 577
696 286 947
113 818 667
761 63 113
809 938 478
369 819 543
256 859 719
95 126 787
441 734 617
353 852 882
260 709 859
789 442 217
184 357 750
501 386 741
891 691 353
908 250 362
172 312 247
686 727 95
941 517 659
426 466 839
53 56 98
895 220 862
536 587 871
380 681 288
404 626 794
730 797 572
114 729 422
486 283 692
27 711 157
265 30 50
519 754 379
267 609 443
531 42 457
849 243 438
809 764 966
697 343 837
341 349 404
58 275 271
424 512 925
942 671 478
95 366 165
800 643 612
108 448 615
749 692 665
290 34 897
550 21 79
893 557 825
396 791 37
491 909 998
252 281 22
474 95 863
114 657 426
693 571 183
297 420 300
743 194 581
387 519 3
942 588 288
661 735 862
337 335 733
72 536 214
216 290 338
795 892 510
768 716 219
614 553 445
71 440 706
485 816 319
509 762 676
431 432 323
703 262 300
487 349 508
295 221 517
302 519 981
348 272 51
919 752 536
825 865 505
62 290 146
600 283 579
266 803 147
256 365 282
956 30 949
396 303 755
156 262 690
830 912 641
681 851 945
674 610 376
23 520 958
657 618 674
172 25 98
537 40 33
120 891 746
15 780 431
467 92 674
14 564 353
391 531 238
323 121 957
772 544 443
507 788 824
659 734 30
39 180 226
502 249 19
170 754 574
168 784 966
308 270 901
764 101 457
749 220 509
423 397 42
873 101 201
545 634 195
226 103 21
34 212 987
360 291 843
560 899 74
892 637 823
125 590 364
538 313 15
660 403 317
937 810 60
288 74 307
942 58 437
180 707 273
469 576 168
636 936 486
554 9 838
570 120 187
789 144 70
849 593 925
869 135 290
916 23 336
423 591 392
124 139 856
463 39 109
802 230 326
146 696 733
269 953 83
864 770 740
586 25 865
522 220 917
744 398 584
609 418 322
173 912 545
330 445 499
889 478 397
218 267 354
36 38 345
506 18 630
909 231 606
770 806 720
568 67 891
403 808 163
74 327 937
688 957 323
392 236 535
337 434 523
53 74 848
911 724 90
598 678 618
774 912 977
720 379 88
163 654 647
47 775 525
315 912 59
810 566 879
392 944 978
687 304 721
515 443 251
61 823 94
621 80 50
952 732 570
591 397 360
521 827 481
196 540 730
255 196 836
928 380 536
81 67 725
3 832 814
927 161 562
411 397 754
46 184 774
29 943 301
651 860 749
916 392 971
560 736 896
713 332 720
247 311 60
110 499 515
911 325 284
465 303 181
916 389 381
97 889 691
919 175 344
724 458 723
635 336 578
584 209 420
870 663 9
284 712 322
403 176 990
464 306 140
225 839 119
679 21 820
48 537 778
893 163 543
467 114 505
598 811 98
603 713 263
339 443 519
783 231 864
626 796 272
606 786 425
220 466 998
192 527 937
676 180 588
829 620 429
216 154 665
386 283 512
936 101 19
744 440 921
895 826 475
313 131 773
643 102 327
878 664 811
917 718 449
265 29 510
871 876 113
741 735 159
131 181 147
679 540 871
670 168 506
618 931 741
36 818 574
239 157 5
423 424 797
130 811 787
309 605 668
387 141 743
384 393 321
55 108 975
22 66 218
101 200 490
715 92 25
116 167 406
24 321 250
691 797 685
435 591 41
63 74 325
944 721 834
625 654 290
615 258 369
316 570 343
474 322 553
521 889 919
787 950 762
929 52 223
733 859 123
905 437 787
348 84 556
483 495 308
336 826 943
574 933 959
157 652 8
570 188 991
811 803 580
888 754 570
237 176 279
649 255 702
876 622 889
724 227 153
350 881 628
720 708 310
535 485 540
602 22 902
200 231 65
462 566 431
616 496 323
503 30 947
664 653 330
422 285 278
825 17 520
208 118 888
790 137 892
148 427 99
898 42 999
578 764 806
70 928 656
230 376 427
824 600 150
59 583 846
955 414 784
49 443 391
804 878 73
270 354 856
390 178 82
343 946 949
474 593 978
156 738 420
906 452 541
680 741 768
118 423 711
151 308 641
752 145 907
917 149 426
439 320 865
44 505 256
652 141 43
543 427 975
467 506 949
344 294 355
127 258 235
847 564 969
483 290 966
248 539 492
17 762 749
942 933 642
604 761 246
21 835 227
510 706 664
446 612 816
44 544 39
304 854 244
352 863 92
38 283 550
10 582 754
258 464 548
472 175 297
631 76 419
48 765 606
621 49 69
873 730 976
690 253 395
131 207 851
902 441 71
21 408 63
185 253 389
873 230 978
444 587 178
132 446 450
498 61 997
408 573 177
684 695 622
142 190 169
596 927 90
736 910 256
345 926 32
185 152 656
918 9 771
189 905 550
504 491 380
502 503 423
627 898 336
857 224 747
272 13 483
407 346 472
32 48 594
486 125 647
923 314 477
946 626 54
168 389 512
45 86 49
143 176 289
71 85 939
21 649 14
503 505 233
914 72 635
771 406 144
130 2 89
208 612 827
61 921 870
266 481 549
766 687 986
800 331 699
265 561 497
942 933 257
420 102 875
642 75 434
248 651 583
784 836 844
850 888 224
553 605 625
250 733 551
745 926 757
173 233 434
890 544 937
942 587 787
890 282 105
832 106 349
448 667 459
361 206 260
790 946 881
349 283 574
221 599 368
396 798 319
79 335 813
303 790 990
20 785 53
417 193 595
69 463 102
24 910 850
837 145 29
633 190 469
493 262 815
946 642 245
863 29 450
220 427 748
295 678 570
499 795 621
226 771 341
450 631 479
133 454 974
505 351 353
684 833 45
536 195 256
592 254 613
798 636 602
336 664 977
93 936 867
103 186 172
446 63 177
150 223 470
760 917 394
174 851 27
653 482 205
280 10 545
751 486 535
262 97 680
791 357 174
183 132 486
55 683 777
125 395 706
860 650 714
849 552 751
21 647 491
27 810 41
863 135 499
556 731 763
840 396 619
691 882 840
473 93 332
387 440 960
475 206 784
829 872 715
114 221 486
91 106 117
251 465 395
217 325 196
913 31 535
309 836 772
282 358 386
738 730 231
362 861 929
498 765 133
419 764 544
855 191 496
157 718 191
371 457 245
256 491 268
740 59 516
337 806 573
602 336 915
554 504 720
804 760 224
495 484 624
397 150 452
926 13 448
443 926 482
407 933 683
262 275 6
637 254 235
339 131 417
159 231 390
602 211 337
747 210 307
383 40 694
865 713 288
887 623 153
899 161 640
753 956 507
291 632 611
277 691 618
350 17 878
246 922 574
903 936 779
445 713 563
612 191 197
613 509 955
953 938 27
145 417 653
489 870 886
123 653 500
266 681 82
100 759 285
512 23 933
907 156 461
170 22 319
834 236 414
919 244 833
455 515 315
389 924 446
425 251 933
324 622 969
542 265 221
621 52 70
15 460 210
901 793 101
628 875 337
190 268 293
348 253 532
52 231 112
698 82 538
200 17 928
562 389 141
954 834 742
340 818 422
651 184 321
934 88 522
595 51 328
417 390 132
272 262 1
609 677 64
141 288 718
906 94 738
524 29 478
450 516 92
173 415 526
689 56 10
257 871 391
736 217 121
119 120 190
585 822 2
466 280 945
219 483 48
10 231 352
856 947 62
53 776 77
935 68 342
552 828 995
512 20 912
73 691 914
441 93 504
148 328 871
666 132 988
171 325 199
807 292 641
388 552 776
428 125 743
590 37 188
713 505 696
412 805 140
268 895 176
511 178 625
261 683 72
231 180 624
792 323 301
418 303 669
453 186 120
554 674 728
9 784 736
886 63 708
10 250 972
698 243 193
791 447 818
627 427 335
27 533 787
383 292 335
460 823 648
529 10 263
443 731 802
929 293 12
908 607 813
10 431 364
894 337 370
477 168 353
841 286 448
583 665 952
176 576 161
760 390 926
713 646 771
425 135 761
145 112 556
31 673 757
296 298 525
208 242 386
932 559 406
89 302 580
236 419 461
668 921 319
263 119 400
13 218 199
601 273 490
882 660 487
659 200 418
58 565 339
738 484 529
129 576 677
224 650 539
182 7 252
874 196 356
362 330 375
697 498 426
507 102 806
587 8 742
790 353 199
842 475 105
496 953 654
572 826 496
217 740 967
442 71 806
379 337 490
901 274 48
865 131 492
527 399 739
133 212 358
283 31 515
903 894 783
651 672 316
527 831 76
892 480 888
19 819 368
514 94 242
528 589 671
50 165 836
78 510 846
911 602 239
510 206 682
23 807 980
686 18 322
444 612 574
536 251 598
449 147 237
494 790 859
299 767 115
298 53 6
930 863 389
78 491 105
838 416 673
582 23 135
373 953 607
765 116 362
754 208 624
316 689 976
710 679 845
343 879 649
304 748 357
910 501 254
870 401 216
502 568 753
629 854 327
220 45 942
522 504 913
585 885 86
90 647 372
88 931 421
528 9 622
787 310 442
166 921 579
906 320 964
759 252 952
278 537 836
27 234 591
218 62 908
491 941 449
586 799 484
162 83 431
455 739 151
724 796 120
250 922 573
694 185 369
217 332 480
858 114 460
429 101 235
730 301 67
464 526 905
167 905 203
310 145 540
906 156 418
795 682 251
410 82 163
563 871 770
273 683 670
487 707 491
812 194 592
102 765 102
401 360 814
776 511 911
602 915 256
777 834 827
782 351 997
35 127 371
41 271 394
943 875 59
436 712 806
643 235 334
594 159 517
848 219 753
831 434 44
203 801 760
392 46 671
869 233 173
370 954 256
122 337 502
206 523 173
865 111 943
541 299 834
546 757 629
688 763 868
925 201 658
322 683 687
598 481 392
291 342 471
534 368 806
586 664 475
58 575 624
840 731 849
519 278 696
893 512 398
412 309 310
501 704 762
118 92 710
933 274 363
510 84 881
759 454 781
803 97 204
802 671 989
714 65 511
48 814 194
146 829 583
164 456 264
859 873 802
1 384 414
687 365 954
634 601 903
804 147 662
922 499 426
540 636 222
934 381 508
931 735 310
342 322 245
48 794 744
112 869 537
856 913 113
200 834 87
298 307 657
676 388 279
668 947 410
195 301 384
589 807 869
855 378 580
174 554 585
744 118 32
528 308 525
79 333 927
191 281 685
260 771 130
738 39 751
717 353 419
294 24 834
22 699 417
402 285 157
479 26 942
857 635 466
515 957 951
804 472 979
417 936 973
546 327 814
612 277 724
153 724 79
418 291 348
595 887 882
20 524 326
661 342 42
549 592 942
381 39 984
257 457 855
169 323 445
954 571 143
954 257 128
750 800 373
936 41 357
534 175 19
712 589 13
490 116 233
443 649 370
421 658 22
186 887 71
123 724 790
139 943 45
176 197 954
783 813 350
811 654 168
584 445 883
829 646 222
468 591 49
447 413 917
571 798 255
883 155 782
809 546 414
180 185 687
844 293 665
379 393 775
526 407 260
401 236 528
555 21 425
949 830 607
146 790 562
803 39 761
647 300 115
705 846 859
924 516 433
3 212 276
850 245 728
645 340 555
283 946 767
469 911 414
47 839 747
527 776 532
31 899 392
366 946 196
442 660 961
608 30 939
245 805 265
380 343 581
401 189 883
411 384 997
710 626 104
257 904 492
558 84 454
705 421 647
255 754 958
946 546 29
935 51 333
420 590 530
376 532 465
795 20 805
739 215 565
446 771 997
363 349 306
922 395 147
100 610 504
762 763 920
852 355 308
851 465 461
161 574 500
496 606 978
905 868 938
217 275 979
171 384 704
220 954 794
29 417 75
613 428 183
378 601 679
652 228 788
607 669 310
2 56 675
265 337 165
530 939 977
69 275 752
335 406 426
954 405 817
801 803 186
234 911 282
703 278 180
500 368 435
943 395 748
258 127 160
46 321 485
697 26 212
98 544 718
549 418 363
82 256 843
738 148 494
709 639 269
671 110 834
516 890 272
461 463 845
738 503 276
451 630 375
717 474 286
154 248 75
901 340 688
818 667 845
177 284 646
274 904 88
582 69 447
365 434 244
435 738 927
530 782 580
579 686 476
917 107 76
248 22 285
451 127 32
184 102 62
494 145 480
777 167 122
634 449 222
202 514 263
340 563 422
411 288 43
612 473 578
472 12 820
88 407 786
193 227 677
717 760 392
188 550 181
167 22 854
918 152 393
759 211 818
286 61 766
646 491 718
838 853 162
162 66 936
367 266 948
770 22 550
350 607 516
116 230 186
198 236 276
205 465 99
923 11 589
627 250 659
691 251 260
529 351 993
430 439 28
628 336 740
698 752 875
873 766 56
371 360 294
597 294 296
532 590 962
184 897 502
667 579 868
936 942 829
156 467 103
296 443 434
792 925 111
105 515 553
365 927 290
190 393 27
71 773 63
912 928 563
911 43 790
808 297 938
754 541 363
533 48 153
427 14 730
178 670 227
49 439 353
31 774 134
303 765 892
819 64 304
335 177 131
115 32 264
854 118 365
779 641 383
312 552 634
5 32 543
776 385 140
100 536 737
466 899 218
749 684 56
286 17 124
378 119 970
225 931 175
473 666 878
337 115 234
560 599 970
889 93 340
774 378 922
614 121 862
511 337 684
322 431 561
145 946 722
533 556 711
793 427 259
484 216 98
132 878 761
881 626 41
46 630 892
96 488 317
809 764 717
456 756 654
309 739 906
517 454 743
897 52 170
28 601 726
904 743 963
246 229 418
556 198 122
250 410 691
359 14 14
308 16 700
30 883 166
227 869 646
317 513 685
510 487 206
133 379 437
110 675 328
551 957 864
320 155 426
604 355 714
651 136 325
138 59 158
82 25 966
564 70 406
660 504 762
803 119 817
867 774 61
132 500 189
472 825 136
404 603 634
715 441 678
806 470 275
107 220 249
450 64 874
569 873 215
773 848 746
767 916 771
401 167 365
27 776 357
331 675 357
715 103 183
64 430 836
648 737 438
584 323 303
349 235 87
641 15 794
196 612 616
546 517 486
644 609 596
499 631 381
93 565 738
666 248 765
285 112 404
707 219 776
947 943 222
79 844 618
625 953 619
591 6 645
603 888 270
814 790 101
296 535 399
115 589 261
85 140 864
264 257 790
